Element,Mx_i,Mx_j,My_i,My_j,Mz_i,Mz_j,Vx_i,Vx_j,Vy_i,Vy_j,Vz_i,Vz_j
1,-3.933268204403444,1.672245999095221,-0.0,0.0,-4.1597931283397435e-12,4.1597931283397435e-12,0.0,0.0,1.8841851710901858,-1.8841851710901858,0.0,0.0
2,-6.34110997769228,-2.2480747547079902,-0.0,0.0,-6.3534861796239506e-12,6.3534861796239506e-12,0.0,0.0,2.1608011905409485,-2.1608011905409485,0.0,0.0
3,-4.122797168134912,-10.090554804546125,-0.0,0.0,-6.512389611379464e-12,6.512389611379464e-12,0.0,0.0,3.5756860308631526,-3.5756860308631526,0.0,0.0
4,6.188878877442322,-2.7258297614219407,0.0,0.0,-2.8921168720759426e-12,2.8921168720759426e-12,0.0,0.0,-2.8858742633503196,2.8858742633503196,0.0,0.0
5,-3.0299943639650397,1.3611950873477725,0.0,0.0,3.172918923997105e-12,-3.172918923997105e-12,0.0,0.0,1.3906660638477228,-1.3906660638477228,0.0,0.0
6,-4.953191056688048,-1.7961168043162012,0.0,-0.0,4.862117054575423e-12,-4.862117054575423e-12,0.0,0.0,1.697939084529371,-1.697939084529371,0.0,0.0
7,-3.1114295616636216,-7.583816571382889,0.0,-0.0,5.014459001308159e-12,-5.014459001308159e-12,0.0,0.0,2.6906279579991215,-2.6906279579991215,0.0,0.0
8,4.416867441985993,-2.309243084626527,0.0,-0.0,2.3889875817954944e-12,-2.3889875817954944e-12,0.0,0.0,-1.756353631132889,1.756353631132889,0.0,0.0
9,-0.899549553038528,1.2167110981832063,-0.0,0.0,-1.32311188747215e-11,1.32311188747215e-11,0.0,0.0,-0.26430128762056526,0.26430128762056526,0.0,0.0
10,-1.594965924389613,0.37664215094204834,-0.0,0.0,-1.6393798836335075e-11,1.6393798836335075e-11,0.0,0.0,0.3064965467792616,-0.3064965467792616,0.0,0.0
